t;x;F
0.000000;0.000000;10.000000
0.001000;0.000000;9.997000
0.002000;0.000000;9.994002
0.003000;0.000000;9.991004
0.004000;0.000000;9.988007
0.005000;0.000000;9.985011
0.006000;0.000000;9.982016
0.007000;0.000000;9.979022
0.008000;0.000000;9.976029
0.009000;0.000000;9.973036
0.010000;0.000000;9.970045
0.011000;0.000000;9.967054
0.012000;0.000000;9.964065
0.013000;0.000000;9.961076
0.014000;0.000000;9.958088
0.015000;0.000000;9.955101
0.016000;0.000000;9.952115
0.017000;0.000000;9.949130
0.018000;0.000000;9.946146
0.019000;0.000000;9.943162
0.020000;0.000000;9.940180
0.021000;0.000000;9.937198
0.022000;0.000000;9.934217
0.023000;0.000000;9.931238
0.024000;0.000000;9.928259
0.025000;0.000000;9.925281
0.026000;0.000000;9.922303
0.027000;0.000000;9.919327
0.028000;0.000001;9.916352
0.029000;0.000001;9.913377
0.030000;0.000001;9.910404
0.031000;0.000001;9.907431
0.032000;0.000001;9.904459
0.033000;0.000001;9.901488
0.034000;0.000001;9.898518
0.035000;0.000001;9.895549
0.036000;0.000001;9.892581
0.037000;0.000001;9.889614
0.038000;0.000002;9.886647
0.039000;0.000002;9.883682
0.040000;0.000002;9.880717
0.041000;0.000002;9.877753
0.042000;0.000002;9.874790
0.043000;0.000003;9.871828
0.044000;0.000003;9.868867
0.045000;0.000003;9.865907
0.046000;0.000003;9.862948
0.047000;0.000004;9.859989
0.048000;0.000004;9.857032
0.049000;0.000004;9.854075
0.050000;0.000005;9.851119
0.051000;0.000005;9.848165
0.052000;0.000005;9.845210
0.053000;0.000006;9.842257
0.054000;0.000006;9.839305
0.055000;0.000007;9.836354
0.056000;0.000007;9.833403
0.057000;0.000008;9.830454
0.058000;0.000008;9.827505
0.059000;0.000009;9.824557
0.060000;0.000009;9.821610
0.061000;0.000010;9.818664
0.062000;0.000011;9.815719
0.063000;0.000011;9.812775
0.064000;0.000012;9.809831
0.065000;0.000013;9.806889
0.066000;0.000014;9.803947
0.067000;0.000014;9.801007
0.068000;0.000015;9.798067
0.069000;0.000016;9.795128
0.070000;0.000017;9.792190
0.071000;0.000018;9.789252
0.072000;0.000019;9.786316
0.073000;0.000020;9.783381
0.074000;0.000021;9.780446
0.075000;0.000022;9.777512
0.076000;0.000023;9.774580
0.077000;0.000024;9.771648
0.078000;0.000026;9.768717
0.079000;0.000027;9.765786
0.080000;0.000028;9.762857
0.081000;0.000030;9.759929
0.082000;0.000031;9.757001
0.083000;0.000032;9.754074
0.084000;0.000034;9.751149
0.085000;0.000035;9.748224
0.086000;0.000037;9.745300
0.087000;0.000039;9.742377
0.088000;0.000040;9.739454
0.089000;0.000042;9.736533
0.090000;0.000044;9.733612
0.091000;0.000046;9.730693
0.092000;0.000048;9.727774
0.093000;0.000050;9.724856
0.094000;0.000052;9.721939
0.095000;0.000054;9.719023
0.096000;0.000056;9.716108
0.097000;0.000058;9.713193
0.098000;0.000061;9.710280
0.099000;0.000063;9.707367
0.100000;0.000065;9.704455
0.101000;0.000068;9.701544
0.102000;0.000070;9.698634
0.103000;0.000073;9.695725
0.104000;0.000076;9.692817
0.105000;0.000078;9.689910
0.106000;0.000081;9.687003
0.107000;0.000084;9.684097
0.108000;0.000087;9.681193
0.109000;0.000090;9.678289
0.110000;0.000093;9.675386
0.111000;0.000097;9.672483
0.112000;0.000100;9.669582
0.113000;0.000103;9.666682
0.114000;0.000107;9.663782
0.115000;0.000110;9.660883
0.116000;0.000114;9.657986
0.117000;0.000118;9.655089
0.118000;0.000121;9.652193
0.119000;0.000125;9.649297
0.120000;0.000129;9.646403
0.121000;0.000133;9.643509
0.122000;0.000137;9.640617
0.123000;0.000142;9.637725
0.124000;0.000146;9.634834
0.125000;0.000150;9.631944
0.126000;0.000155;9.629055
0.127000;0.000160;9.626167
0.128000;0.000164;9.623279
0.129000;0.000169;9.620393
0.130000;0.000174;9.617507
0.131000;0.000179;9.614622
0.132000;0.000184;9.611738
0.133000;0.000189;9.608855
0.134000;0.000195;9.605973
0.135000;0.000200;9.603092
0.136000;0.000206;9.600211
0.137000;0.000211;9.597332
0.138000;0.000217;9.594453
0.139000;0.000223;9.591575
0.140000;0.000229;9.588698
0.141000;0.000235;9.585822
0.142000;0.000241;9.582946
0.143000;0.000248;9.580072
0.144000;0.000254;9.577198
0.145000;0.000261;9.574326
0.146000;0.000268;9.571454
0.147000;0.000274;9.568583
0.148000;0.000281;9.565713
0.149000;0.000288;9.562843
0.150000;0.000296;9.559975
0.151000;0.000303;9.557107
0.152000;0.000310;9.554241
0.153000;0.000318;9.551375
0.154000;0.000326;9.548510
0.155000;0.000334;9.545646
0.156000;0.000342;9.542782
0.157000;0.000350;9.539920
0.158000;0.000358;9.537058
0.159000;0.000366;9.534198
0.160000;0.000375;9.531338
0.161000;0.000383;9.528479
0.162000;0.000392;9.525621
0.163000;0.000401;9.522764
0.164000;0.000410;9.519907
0.165000;0.000420;9.517052
0.166000;0.000429;9.514197
0.167000;0.000439;9.511343
0.168000;0.000448;9.508490
0.169000;0.000458;9.505638
0.170000;0.000468;9.502787
0.171000;0.000478;9.499936
0.172000;0.000489;9.497087
0.173000;0.000499;9.494238
0.174000;0.000510;9.491390
0.175000;0.000520;9.488543
0.176000;0.000531;9.485697
0.177000;0.000542;9.482852
0.178000;0.000554;9.480007
0.179000;0.000565;9.477164
0.180000;0.000577;9.474321
0.181000;0.000589;9.471479
0.182000;0.000600;9.468638
0.183000;0.000613;9.465798
0.184000;0.000625;9.462959
0.185000;0.000637;9.460120
0.186000;0.000650;9.457283
0.187000;0.000663;9.454446
0.188000;0.000676;9.451610
0.189000;0.000689;9.448775
0.190000;0.000702;9.445941
0.191000;0.000716;9.443107
0.192000;0.000729;9.440275
0.193000;0.000743;9.437443
0.194000;0.000757;9.434612
0.195000;0.000772;9.431782
0.196000;0.000786;9.428953
0.197000;0.000801;9.426125
0.198000;0.000816;9.423298
0.199000;0.000831;9.420471
0.200000;0.000846;9.417645
0.201000;0.000861;9.414820
0.202000;0.000877;9.411996
0.203000;0.000893;9.409173
0.204000;0.000909;9.406351
0.205000;0.000925;9.403529
0.206000;0.000941;9.400709
0.207000;0.000958;9.397889
0.208000;0.000975;9.395070
0.209000;0.000992;9.392252
0.210000;0.001009;9.389435
0.211000;0.001026;9.386618
0.212000;0.001044;9.383803
0.213000;0.001062;9.380988
0.214000;0.001080;9.378174
0.215000;0.001098;9.375361
0.216000;0.001117;9.372549
0.217000;0.001136;9.369738
0.218000;0.001155;9.366927
0.219000;0.001174;9.364117
0.220000;0.001193;9.361309
0.221000;0.001213;9.358501
0.222000;0.001233;9.355694
0.223000;0.001253;9.352887
0.224000;0.001273;9.350082
0.225000;0.001294;9.347277
0.226000;0.001314;9.344473
0.227000;0.001335;9.341671
0.228000;0.001356;9.338868
0.229000;0.001378;9.336067
0.230000;0.001400;9.333267
0.231000;0.001422;9.330467
0.232000;0.001444;9.327669
0.233000;0.001466;9.324871
0.234000;0.001489;9.322074
0.235000;0.001512;9.319277
0.236000;0.001535;9.316482
0.237000;0.001558;9.313688
0.238000;0.001582;9.310894
0.239000;0.001606;9.308101
0.240000;0.001630;9.305309
0.241000;0.001654;9.302518
0.242000;0.001679;9.299727
0.243000;0.001704;9.296938
0.244000;0.001729;9.294149
0.245000;0.001755;9.291361
0.246000;0.001780;9.288574
0.247000;0.001806;9.285788
0.248000;0.001832;9.283003
0.249000;0.001859;9.280219
0.250000;0.001886;9.277435
0.251000;0.001913;9.274652
0.252000;0.001940;9.271870
0.253000;0.001967;9.269089
0.254000;0.001995;9.266309
0.255000;0.002023;9.263529
0.256000;0.002052;9.260751
0.257000;0.002080;9.257973
0.258000;0.002109;9.255196
0.259000;0.002138;9.252420
0.260000;0.002168;9.249644
0.261000;0.002198;9.246870
0.262000;0.002228;9.244096
0.263000;0.002258;9.241323
0.264000;0.002289;9.238551
0.265000;0.002319;9.235780
0.266000;0.002351;9.233010
0.267000;0.002382;9.230240
0.268000;0.002414;9.227472
0.269000;0.002446;9.224704
0.270000;0.002478;9.221937
0.271000;0.002511;9.219171
0.272000;0.002544;9.216405
0.273000;0.002577;9.213641
0.274000;0.002611;9.210877
0.275000;0.002645;9.208114
0.276000;0.002679;9.205352
0.277000;0.002713;9.202591
0.278000;0.002748;9.199831
0.279000;0.002783;9.197071
0.280000;0.002818;9.194313
0.281000;0.002854;9.191555
0.282000;0.002890;9.188798
0.283000;0.002926;9.186041
0.284000;0.002963;9.183286
0.285000;0.003000;9.180531
0.286000;0.003037;9.177778
0.287000;0.003075;9.175025
0.288000;0.003113;9.172273
0.289000;0.003151;9.169521
0.290000;0.003189;9.166771
0.291000;0.003228;9.164021
0.292000;0.003268;9.161273
0.293000;0.003307;9.158525
0.294000;0.003347;9.155777
0.295000;0.003387;9.153031
0.296000;0.003428;9.150286
0.297000;0.003469;9.147541
0.298000;0.003510;9.144797
0.299000;0.003551;9.142054
0.300000;0.003593;9.139312
0.301000;0.003635;9.136570
0.302000;0.003678;9.133830
0.303000;0.003721;9.131090
0.304000;0.003764;9.128351
0.305000;0.003808;9.125613
0.306000;0.003852;9.122876
0.307000;0.003896;9.120139
0.308000;0.003940;9.117404
0.309000;0.003985;9.114669
0.310000;0.004031;9.111935
0.311000;0.004076;9.109202
0.312000;0.004123;9.106469
0.313000;0.004169;9.103738
0.314000;0.004216;9.101007
0.315000;0.004263;9.098277
0.316000;0.004310;9.095548
0.317000;0.004358;9.092820
0.318000;0.004406;9.090093
0.319000;0.004455;9.087366
0.320000;0.004504;9.084640
0.321000;0.004553;9.081915
0.322000;0.004603;9.079191
0.323000;0.004653;9.076468
0.324000;0.004703;9.073745
0.325000;0.004754;9.071023
0.326000;0.004805;9.068303
0.327000;0.004857;9.065582
0.328000;0.004909;9.062863
0.329000;0.004961;9.060145
0.330000;0.005014;9.057427
0.331000;0.005067;9.054710
0.332000;0.005121;9.051994
0.333000;0.005174;9.049279
0.334000;0.005229;9.046565
0.335000;0.005283;9.043851
0.336000;0.005338;9.041138
0.337000;0.005394;9.038426
0.338000;0.005450;9.035715
0.339000;0.005506;9.033005
0.340000;0.005562;9.030296
0.341000;0.005619;9.027587
0.342000;0.005677;9.024879
0.343000;0.005735;9.022172
0.344000;0.005793;9.019466
0.345000;0.005851;9.016760
0.346000;0.005910;9.014056
0.347000;0.005970;9.011352
0.348000;0.006030;9.008649
0.349000;0.006090;9.005947
0.350000;0.006151;9.003245
0.351000;0.006212;9.000545
0.352000;0.006273;8.997845
0.353000;0.006335;8.995146
0.354000;0.006397;8.992448
0.355000;0.006460;8.989750
0.356000;0.006523;8.987054
0.357000;0.006587;8.984358
0.358000;0.006651;8.981663
0.359000;0.006715;8.978969
0.360000;0.006780;8.976276
0.361000;0.006845;8.973583
0.362000;0.006911;8.970892
0.363000;0.006977;8.968201
0.364000;0.007044;8.965511
0.365000;0.007111;8.962822
0.366000;0.007178;8.960133
0.367000;0.007246;8.957446
0.368000;0.007315;8.954759
0.369000;0.007383;8.952073
0.370000;0.007452;8.949387
0.371000;0.007522;8.946703
0.372000;0.007592;8.944019
0.373000;0.007663;8.941337
0.374000;0.007734;8.938655
0.375000;0.007805;8.935973
0.376000;0.007877;8.933293
0.377000;0.007949;8.930613
0.378000;0.008022;8.927935
0.379000;0.008095;8.925257
0.380000;0.008169;8.922580
0.381000;0.008243;8.919903
0.382000;0.008318;8.917228
0.383000;0.008393;8.914553
0.384000;0.008468;8.911879
0.385000;0.008544;8.909206
0.386000;0.008621;8.906533
0.387000;0.008698;8.903862
0.388000;0.008775;8.901191
0.389000;0.008853;8.898521
0.390000;0.008931;8.895852
0.391000;0.009010;8.893184
0.392000;0.009089;8.890516
0.393000;0.009169;8.887849
0.394000;0.009249;8.885183
0.395000;0.009330;8.882518
0.396000;0.009411;8.879854
0.397000;0.009493;8.877190
0.398000;0.009575;8.874527
0.399000;0.009657;8.871866
0.400000;0.009740;8.869204
0.401000;0.009824;8.866544
0.402000;0.009908;8.863884
0.403000;0.009993;8.861226
0.404000;0.010078;8.858568
0.405000;0.010163;8.855911
0.406000;0.010249;8.853254
0.407000;0.010336;8.850599
0.408000;0.010423;8.847944
0.409000;0.010510;8.845290
0.410000;0.010598;8.842637
0.411000;0.010687;8.839984
0.412000;0.010776;8.837333
0.413000;0.010865;8.834682
0.414000;0.010955;8.832032
0.415000;0.011046;8.829383
0.416000;0.011137;8.826734
0.417000;0.011228;8.824087
0.418000;0.011320;8.821440
0.419000;0.011413;8.818794
0.420000;0.011506;8.816148
0.421000;0.011600;8.813504
0.422000;0.011694;8.810860
0.423000;0.011788;8.808218
0.424000;0.011883;8.805575
0.425000;0.011979;8.802934
0.426000;0.012075;8.800294
0.427000;0.012172;8.797654
0.428000;0.012269;8.795015
0.429000;0.012367;8.792377
0.430000;0.012465;8.789740
0.431000;0.012564;8.787103
0.432000;0.012663;8.784467
0.433000;0.012763;8.781832
0.434000;0.012864;8.779198
0.435000;0.012965;8.776565
0.436000;0.013066;8.773932
0.437000;0.013168;8.771301
0.438000;0.013271;8.768670
0.439000;0.013374;8.766039
0.440000;0.013477;8.763410
0.441000;0.013581;8.760781
0.442000;0.013686;8.758153
0.443000;0.013791;8.755526
0.444000;0.013897;8.752900
0.445000;0.014004;8.750275
0.446000;0.014110;8.747650
0.447000;0.014218;8.745026
0.448000;0.014326;8.742403
0.449000;0.014434;8.739781
0.450000;0.014544;8.737159
0.451000;0.014653;8.734538
0.452000;0.014763;8.731918
0.453000;0.014874;8.729299
0.454000;0.014986;8.726681
0.455000;0.015098;8.724063
0.456000;0.015210;8.721446
0.457000;0.015323;8.718830
0.458000;0.015437;8.716215
0.459000;0.015551;8.713601
0.460000;0.015666;8.710987
0.461000;0.015781;8.708374
0.462000;0.015897;8.705762
0.463000;0.016013;8.703151
0.464000;0.016130;8.700540
0.465000;0.016248;8.697930
0.466000;0.016366;8.695321
0.467000;0.016485;8.692713
0.468000;0.016604;8.690106
0.469000;0.016724;8.687499
0.470000;0.016845;8.684893
0.471000;0.016966;8.682288
0.472000;0.017088;8.679684
0.473000;0.017210;8.677080
0.474000;0.017333;8.674477
0.475000;0.017456;8.671876
0.476000;0.017580;8.669274
0.477000;0.017705;8.666674
0.478000;0.017830;8.664074
