t;x;F
0.000000;0.000000;10.000000
0.010000;0.000000;9.970045
0.020000;0.000001;9.940180
0.030000;0.000002;9.910404
0.040000;0.000004;9.880717
0.050000;0.000009;9.851119
0.060000;0.000016;9.821610
0.070000;0.000027;9.792190
0.080000;0.000042;9.762857
0.090000;0.000063;9.733612
0.100000;0.000090;9.704455
0.110000;0.000125;9.675386
0.120000;0.000169;9.646403
0.130000;0.000223;9.617507
0.140000;0.000288;9.588698
0.150000;0.000366;9.559975
0.160000;0.000458;9.531338
0.170000;0.000565;9.502787
0.180000;0.000689;9.474321
0.190000;0.000831;9.445941
0.200000;0.000992;9.417645
0.210000;0.001174;9.389435
0.220000;0.001378;9.361309
0.230000;0.001606;9.333267
0.240000;0.001859;9.305309
0.250000;0.002138;9.277435
0.260000;0.002446;9.249644
0.270000;0.002783;9.221937
0.280000;0.003151;9.194313
0.290000;0.003551;9.166771
0.300000;0.003985;9.139312
0.310000;0.004455;9.111935
0.320000;0.004961;9.084640
0.330000;0.005506;9.057427
0.340000;0.006090;9.030296
0.350000;0.006715;9.003245
0.360000;0.007383;8.976276
0.370000;0.008095;8.949387
0.380000;0.008853;8.922580
0.390000;0.009657;8.895852
0.400000;0.010510;8.869204
0.410000;0.011413;8.842637
0.420000;0.012367;8.816148
0.430000;0.013374;8.789740
0.440000;0.014434;8.763410
0.450000;0.015551;8.737159
0.460000;0.016724;8.710987
0.470000;0.017956;8.684893
0.480000;0.019248;8.658877
0.490000;0.020600;8.632940
0.500000;0.022016;8.607080
0.510000;0.023495;8.581297
0.520000;0.025040;8.555592
0.530000;0.026651;8.529964
0.540000;0.028331;8.504412
0.550000;0.030080;8.478937
0.560000;0.031900;8.453538
0.570000;0.033792;8.428216
0.580000;0.035758;8.402969
0.590000;0.037799;8.377798
0.600000;0.039916;8.352702
0.610000;0.042111;8.327682
0.620000;0.044385;8.302736
0.630000;0.046739;8.277865
0.640000;0.049175;8.253069
0.650000;0.051693;8.228347
0.660000;0.054296;8.203699
0.670000;0.056985;8.179124
0.680000;0.059760;8.154624
0.690000;0.062624;8.130196
0.700000;0.065577;8.105842
0.710000;0.068621;8.081561
0.720000;0.071757;8.057353
0.730000;0.074987;8.033217
0.740000;0.078311;8.009154
0.750000;0.081731;7.985162
0.760000;0.085248;7.961243
0.770000;0.088864;7.937395
0.780000;0.092579;7.913618
0.790000;0.096395;7.889913
0.800000;0.100313;7.866279
0.810000;0.104335;7.842715
0.820000;0.108461;7.819222
0.830000;0.112694;7.795800
0.840000;0.117033;7.772447
0.850000;0.121481;7.749165
0.860000;0.126038;7.725952
0.870000;0.130706;7.702809
0.880000;0.135486;7.679735
0.890000;0.140379;7.656731
0.900000;0.145386;7.633795
0.910000;0.150509;7.610928
0.920000;0.155749;7.588129
0.930000;0.161106;7.565399
0.940000;0.166583;7.542737
0.950000;0.172180;7.520143
0.960000;0.177898;7.497616
0.970000;0.183739;7.475157
0.980000;0.189703;7.452765
0.990000;0.195793;7.430440
1.000000;0.202008;7.408182
1.010000;0.208351;7.385991
1.020000;0.214822;7.363866
1.030000;0.221422;7.341808
1.040000;0.228153;7.319815
1.050000;0.235015;7.297889
1.060000;0.242011;7.276028
1.070000;0.249140;7.254233
1.080000;0.256404;7.232502
1.090000;0.263804;7.210837
1.100000;0.271342;7.189237
1.110000;0.279018;7.167702
1.120000;0.286833;7.146231
1.130000;0.294789;7.124824
1.140000;0.302886;7.103482
1.150000;0.311126;7.082204
1.160000;0.319510;7.060989
1.170000;0.328038;7.039838
1.180000;0.336713;7.018750
1.190000;0.345534;6.997725
1.200000;0.354503;6.976763
1.210000;0.363621;6.955864
1.220000;0.372889;6.935028
1.230000;0.382309;6.914254
1.240000;0.391880;6.893542
1.250000;0.401605;6.872893
1.260000;0.411484;6.852305
1.270000;0.421518;6.831779
1.280000;0.431708;6.811314
1.290000;0.442055;6.790911
1.300000;0.452561;6.770569
1.310000;0.463226;6.750287
1.320000;0.474051;6.730067
1.330000;0.485037;6.709907
1.340000;0.496186;6.689807
1.350000;0.507498;6.669768
1.360000;0.518974;6.649789
1.370000;0.530615;6.629869
1.380000;0.542423;6.610010
1.390000;0.554398;6.590209
1.400000;0.566540;6.570468
1.410000;0.578852;6.550786
1.420000;0.591334;6.531163
1.430000;0.603987;6.511599
1.440000;0.616812;6.492094
1.450000;0.629809;6.472647
1.460000;0.642981;6.453258
1.470000;0.656327;6.433927
1.480000;0.669849;6.414654
1.490000;0.683547;6.395439
1.500000;0.697423;6.376282
1.510000;0.711478;6.357181
1.520000;0.725712;6.338138
1.530000;0.740126;6.319152
1.540000;0.754722;6.300223
1.550000;0.769499;6.281351
1.560000;0.784460;6.262535
1.570000;0.799604;6.243776
1.580000;0.814934;6.225073
1.590000;0.830449;6.206425
1.600000;0.846150;6.187834
1.610000;0.862039;6.169298
1.620000;0.878117;6.150818
1.630000;0.894384;6.132393
1.640000;0.910840;6.114024
1.650000;0.927488;6.095709
1.660000;0.944328;6.077449
1.670000;0.961360;6.059244
1.680000;0.978585;6.041094
1.690000;0.996006;6.022998
1.700000;1.013621;6.004956
1.710000;1.031432;5.986968
1.720000;1.049441;5.969034
1.730000;1.067647;5.951154
1.740000;1.086052;5.933327
1.750000;1.104656;5.915554
1.760000;1.123460;5.897834
1.770000;1.142465;5.880167
1.780000;1.161673;5.862553
1.790000;1.181083;5.844991
1.800000;1.200696;5.827483
1.810000;1.220514;5.810026
1.820000;1.240537;5.792622
1.830000;1.260765;5.775270
1.840000;1.281201;5.757971
1.850000;1.301844;5.740723
1.860000;1.322695;5.723526
1.870000;1.343756;5.706381
1.880000;1.365026;5.689288
1.890000;1.386506;5.672246
1.900000;1.408199;5.655254
1.910000;1.430103;5.638314
1.920000;1.452220;5.621424
1.930000;1.474551;5.604585
1.940000;1.497097;5.587797
1.950000;1.519857;5.571059
1.960000;1.542834;5.554370
1.970000;1.566027;5.537732
1.980000;1.589438;5.521144
1.990000;1.613067;5.504605
2.000000;1.636915;5.488116
2.010000;1.660983;5.471677
2.020000;1.685271;5.455286
2.030000;1.709780;5.438945
2.040000;1.734511;5.422653
2.050000;1.759465;5.406409
2.060000;1.784642;5.390214
2.070000;1.810043;5.374068
2.080000;1.835668;5.357970
2.090000;1.861520;5.341920
2.100000;1.887597;5.325918
2.110000;1.913901;5.309964
2.120000;1.940433;5.294058
2.130000;1.967193;5.278200
2.140000;1.994181;5.262389
2.150000;2.021400;5.246625
2.160000;2.048849;5.230909
2.170000;2.076529;5.215240
2.180000;2.104440;5.199618
2.190000;2.132584;5.184042
2.200000;2.160961;5.168513
2.210000;2.189571;5.153031
2.220000;2.218416;5.137595
2.230000;2.247496;5.122205
2.240000;2.276811;5.106862
2.250000;2.306363;5.091564
2.260000;2.336152;5.076312
2.270000;2.366178;5.061106
2.280000;2.396443;5.045946
2.290000;2.426947;5.030831
2.300000;2.457690;5.015761
2.310000;2.488673;5.000736
2.320000;2.519897;4.985756
2.330000;2.551363;4.970821
2.340000;2.583071;4.955931
2.350000;2.615022;4.941086
2.360000;2.647215;4.926285
2.370000;2.679653;4.911528
2.380000;2.712336;4.896815
2.390000;2.745263;4.882147
2.400000;2.778437;4.867523
2.410000;2.811856;4.852942
2.420000;2.845523;4.838405
2.430000;2.879438;4.823911
2.440000;2.913600;4.809461
2.450000;2.948012;4.795055
2.460000;2.982673;4.780691
2.470000;3.017583;4.766370
2.480000;3.052745;4.752093
2.490000;3.088157;4.737858
2.500000;3.123822;4.723666
2.510000;3.159738;4.709516
2.520000;3.195908;4.695408
2.530000;3.232331;4.681343
2.540000;3.269008;4.667320
2.550000;3.305939;4.653339
2.560000;3.343126;4.639400
2.570000;3.380569;4.625503
2.580000;3.418267;4.611647
2.590000;3.456223;4.597833
2.600000;3.494436;4.584060
2.610000;3.532907;4.570329
2.620000;3.571636;4.556638
2.630000;3.610624;4.542989
2.640000;3.649872;4.529380
2.650000;3.689380;4.515812
2.660000;3.729149;4.502285
2.670000;3.769179;4.488799
2.680000;3.809471;4.475352
2.690000;3.850024;4.461946
2.700000;3.890841;4.448581
2.710000;3.931921;4.435255
2.720000;3.973264;4.421969
2.730000;4.014872;4.408723
2.740000;4.056745;4.395517
2.750000;4.098883;4.382350
2.760000;4.141287;4.369223
2.770000;4.183957;4.356135
2.780000;4.226894;4.343086
2.790000;4.270098;4.330076
2.800000;4.313571;4.317105
2.810000;4.357311;4.304173
2.820000;4.401321;4.291280
2.830000;4.445599;4.278426
2.840000;4.490148;4.265610
2.850000;4.534967;4.252832
2.860000;4.580056;4.240093
2.870000;4.625417;4.227391
2.880000;4.671050;4.214728
2.890000;4.716955;4.202103
2.900000;4.763132;4.189515
2.910000;4.809583;4.176966
2.920000;4.856307;4.164454
2.930000;4.903305;4.151979
2.940000;4.950578;4.139542
2.950000;4.998126;4.127142
2.960000;5.045949;4.114779
2.970000;5.094048;4.102453
2.980000;5.142424;4.090164
2.990000;5.191076;4.077912
3.000000;5.240005;4.065697
3.010000;5.289213;4.053518
3.020000;5.338698;4.041375
3.030000;5.388462;4.029269
3.040000;5.438505;4.017200
3.050000;5.488827;4.005166
3.060000;5.539430;3.993169
3.070000;5.590312;3.981207
3.080000;5.641476;3.969281
3.090000;5.692920;3.957391
3.100000;5.744646;3.945537
3.110000;5.796654;3.933718
3.120000;5.848945;3.921935
3.130000;5.901518;3.910187
3.140000;5.954375;3.898474
3.150000;6.007515;3.886796
3.160000;6.060939;3.875153
3.170000;6.114648;3.863545
3.180000;6.168642;3.851971
3.190000;6.222920;3.840433
3.200000;6.277485;3.828929
3.210000;6.332336;3.817459
3.220000;6.387473;3.806024
3.230000;6.442897;3.794623
3.240000;6.498608;3.783256
3.250000;6.554607;3.771924
3.260000;6.610894;3.760625
3.270000;6.667469;3.749360
3.280000;6.724333;3.738129
3.290000;6.781486;3.726931
3.300000;6.838929;3.715767
3.310000;6.896662;3.704636
3.320000;6.954685;3.693539
3.330000;7.012999;3.682475
3.340000;7.071603;3.671444
3.350000;7.130499;3.660446
3.360000;7.189687;3.649481
3.370000;7.249167;3.638549
3.380000;7.308939;3.627650
3.390000;7.369005;3.616783
3.400000;7.429363;3.605949
3.410000;7.490015;3.595148
3.420000;7.550961;3.584378
3.430000;7.612201;3.573641
3.440000;7.673735;3.562937
3.450000;7.735565;3.552264
3.460000;7.797690;3.541623
3.470000;7.860110;3.531014
3.480000;7.922827;3.520437
3.490000;7.985839;3.509891
3.500000;8.049148;3.499377
3.510000;8.112755;3.488895
3.520000;8.176658;3.478444
3.530000;8.240859;3.468024
3.540000;8.305358;3.457636
3.550000;8.370155;3.447279
3.560000;8.435251;3.436952
3.570000;8.500646;3.426657
3.580000;8.566340;3.416392
3.590000;8.632333;3.406158
3.600000;8.698627;3.395955
3.610000;8.765220;3.385783
3.620000;8.832114;3.375641
3.630000;8.899309;3.365529
3.640000;8.966804;3.355447
3.650000;9.034601;3.345396
3.660000;9.102700;3.335375
3.670000;9.171101;3.325384
3.680000;9.239804;3.315423
3.690000;9.308809;3.305491
3.700000;9.378118;3.295590
3.710000;9.447729;3.285718
3.720000;9.517644;3.275875
3.730000;9.587863;3.266062
3.740000;9.658386;3.256279
3.750000;9.729213;3.246525
3.760000;9.800344;3.236800
