t;x;F
0.000000;0.000078;10.000000
0.100000;0.000841;9.704455
0.200000;0.003556;9.417645
0.300000;0.009659;9.139312
0.400000;0.020601;8.869204
0.500000;0.037799;8.607080
0.600000;0.062624;8.352702
0.700000;0.096395;8.105842
0.800000;0.140379;7.866279
0.900000;0.195793;7.633795
1.000000;0.263804;7.408182
1.100000;0.345534;7.189237
1.200000;0.442055;6.976763
1.300000;0.554398;6.770569
1.400000;0.683547;6.570468
1.500000;0.830449;6.376282
1.600000;0.996006;6.187834
1.700000;1.181083;6.004956
1.800000;1.386506;5.827483
1.900000;1.613067;5.655254
2.000000;1.861520;5.488116
2.100000;2.132584;5.325918
2.200000;2.426947;5.168513
2.300000;2.745263;5.015761
2.400000;3.088157;4.867523
2.500000;3.456223;4.723666
2.600000;3.850024;4.584060
2.700000;4.270098;4.448581
2.800000;4.716955;4.317105
2.900000;5.191076;4.189515
3.000000;5.692920;4.065697
3.100000;6.222920;3.945537
3.200000;6.781486;3.828929
3.300000;7.369005;3.715767
3.400000;7.985839;3.605949
3.500000;8.632333;3.499377
3.600000;9.308809;3.395955
3.700000;10.015569;3.295590
3.800000;10.752896;3.198190
3.900000;11.521054;3.103669
4.000000;12.320290;3.011942
4.100000;13.150833;2.922926
4.200000;14.012895;2.836540
4.300000;14.906671;2.752708
4.400000;15.832343;2.671353
4.500000;16.790075;2.592403
4.600000;17.780018;2.515786
4.700000;18.802310;2.441433
4.800000;19.857072;2.369278
4.900000;20.944416;2.299255
5.000000;22.064439;2.231302
5.100000;23.217225;2.165357
5.200000;24.402850;2.101361
5.300000;25.621375;2.039256
5.400000;26.872851;1.978987
5.500000;28.157321;1.920499
5.600000;29.474814;1.863740
5.700000;30.825353;1.808658
5.800000;32.208949;1.755204
5.900000;33.625605;1.703330
6.000000;35.075316;1.652989
6.100000;36.558068;1.604136
6.200000;38.073839;1.556726
6.300000;39.622599;1.510718
6.400000;41.204312;1.466070
6.500000;42.818933;1.422741
6.600000;44.466411;1.380692
6.700000;46.146689;1.339887
6.800000;47.859704;1.300287
6.900000;49.605385;1.261858
7.000000;51.383658;1.224564
7.100000;53.194440;1.188373
7.200000;55.037647;1.153251
7.300000;56.913186;1.119167
7.400000;58.820961;1.086091
7.500000;60.760872;1.053992
7.600000;62.732812;1.022842
7.700000;64.736673;0.992613
7.800000;66.772341;0.963276
7.900000;68.839697;0.934807
8.000000;70.938622;0.907180
8.100000;73.068990;0.880368
8.200000;75.230672;0.854350
8.300000;77.423539;0.829100
8.400000;79.647454;0.804596
8.500000;81.902282;0.780817
8.600000;84.187882;0.757740
8.700000;86.504110;0.735345
8.800000;88.850823;0.713613
8.900000;91.227873;0.692522
9.000000;93.635110;0.672055
9.100000;96.072382;0.652193
9.200000;98.539535;0.632918
9.300000;101.036415;0.614212
9.400000;103.562863;0.596059
9.500000;106.118720;0.578443
9.600000;108.703827;0.561348
9.700000;111.318021;0.544757
9.800000;113.961138;0.528657
9.900000;116.633015;0.513033
10.000000;119.333485;0.497871
